iter	Passed	Remaining
0	2	1107
1	5	1151
2	8	1125
3	11	1110
4	14	1100
5	17	1110
6	20	1116
7	23	1142
8	27	1151
9	29	1136
10	33	1143
11	36	1140
12	39	1137
13	42	1134
14	45	1135
15	48	1133
16	51	1127
17	53	1121
18	57	1120
19	59	1115
20	63	1117
21	66	1118
22	69	1121
23	73	1123
24	76	1122
25	79	1126
26	83	1127
27	86	1127
28	89	1122
29	92	1121
30	95	1116
31	99	1114
32	102	1110
33	104	1105
34	108	1103
35	111	1100
36	114	1095
37	116	1089
38	119	1083
39	122	1081
40	126	1081
41	130	1085
42	133	1084
43	137	1086
44	141	1089
45	144	1086
46	147	1082
47	150	1076
48	153	1076
49	156	1073
50	159	1069
51	162	1065
52	165	1060
53	168	1056
54	171	1051
55	174	1047
56	177	1043
57	180	1039
58	183	1034
59	186	1029
60	188	1024
61	191	1019
62	194	1015
63	197	1013
64	200	1008
65	203	1004
66	206	999
67	209	996
68	212	994
69	215	991
70	219	990
71	222	987
72	225	985
73	228	982
74	231	979
75	234	976
76	237	972
77	240	969
78	243	966
79	247	964
80	250	961
81	253	960
82	258	961
83	261	960
84	265	960
85	269	958
86	273	957
87	276	953
88	279	950
89	282	947
90	286	946
91	288	942
92	292	939
93	295	935
94	298	932
95	301	929
96	304	925
97	307	921
98	309	917
99	312	913
100	315	909
101	318	906
102	322	903
103	325	900
104	327	896
105	330	892
106	333	889
107	336	885
108	339	881
109	342	878
110	345	874
111	348	870
112	351	866
113	353	862
114	356	859
115	359	856
116	362	852
117	365	849
118	369	846
119	372	843
120	374	839
121	377	836
122	380	832
123	383	829
124	386	825
125	389	822
126	392	819
127	395	815
128	398	811
129	401	808
130	403	804
131	406	801
132	409	797
133	412	794
134	415	790
135	419	789
136	422	786
137	426	784
138	429	781
139	432	777
140	435	774
141	438	771
142	441	768
143	444	764
144	446	761
145	449	757
146	452	754
147	455	751
148	459	748
149	462	745
150	465	742
151	468	739
152	471	736
153	474	733
154	477	730
155	481	728
156	485	725
157	487	722
158	491	719
159	494	717
160	497	714
161	500	711
162	503	707
163	507	704
164	510	701
165	513	699
166	516	695
167	519	692
168	522	689
169	525	685
170	528	682
171	530	679
172	534	676
173	537	673
174	540	669
175	544	667
176	547	664
177	550	661
178	553	658
179	556	655
180	559	651
181	562	648
182	565	645
183	568	642
184	571	639
185	574	635
186	577	632
187	579	629
188	582	626
189	586	623
190	588	619
191	591	616
192	594	612
193	597	609
194	600	606
195	603	603
196	606	600
197	609	596
198	612	593
199	616	591
200	619	588
201	622	585
202	625	582
203	629	579
204	633	577
205	636	574
206	640	572
207	643	569
208	646	566
209	650	563
210	653	560
211	656	557
212	659	554
213	662	551
214	665	548
215	668	544
216	672	541
217	675	538
218	678	535
219	682	533
220	685	530
221	688	527
222	692	524
223	695	521
224	698	518
225	702	515
226	705	512
227	708	509
228	711	506
229	715	503
230	718	500
231	721	497
232	724	494
233	727	491
234	730	487
235	733	484
236	736	481
237	739	478
238	742	475
239	745	471
240	747	468
241	751	465
242	754	462
243	757	459
244	760	456
245	763	453
246	766	449
247	769	446
248	772	443
249	775	440
250	778	437
251	781	433
252	783	430
253	786	427
254	789	424
255	792	421
256	795	418
257	798	414
258	801	411
259	805	408
260	808	405
261	811	402
262	814	399
263	818	396
264	821	393
265	824	390
266	827	387
267	830	384
268	833	381
269	836	377
270	839	374
271	842	371
272	844	368
273	847	365
274	850	361
275	853	358
276	856	355
277	859	352
278	863	349
279	866	346
280	869	343
281	872	340
282	876	337
283	879	334
284	882	331
285	886	328
286	889	325
287	892	322
288	896	319
289	898	316
290	902	313
291	905	310
292	908	307
293	911	303
294	914	300
295	917	297
296	920	294
297	923	291
298	927	288
299	930	285
300	933	282
301	936	278
302	938	275
303	941	272
304	945	269
305	948	266
306	951	263
307	954	260
308	957	257
309	960	254
310	963	251
311	966	247
312	969	244
313	972	241
314	975	238
315	978	235
316	981	232
317	984	229
318	988	226
319	991	223
320	994	219
321	997	216
322	1000	213
323	1004	210
324	1007	207
325	1010	204
326	1013	201
327	1016	198
328	1019	195
329	1022	192
330	1025	188
331	1027	185
332	1030	182
333	1033	179
334	1036	176
335	1039	173
336	1042	170
337	1045	167
338	1049	164
339	1052	161
340	1056	158
341	1059	154
342	1063	151
343	1066	148
344	1069	145
345	1073	142
346	1076	139
347	1079	136
348	1082	133
349	1085	130
350	1088	127
351	1091	124
352	1094	120
353	1097	117
354	1100	114
355	1104	111
356	1107	108
357	1110	105
358	1113	102
359	1117	99
360	1121	96
361	1124	93
362	1128	90
363	1131	87
364	1134	83
365	1137	80
366	1141	77
367	1144	74
368	1147	71
369	1150	68
370	1153	65
371	1156	62
372	1159	59
373	1162	55
374	1165	52
375	1168	49
376	1171	46
377	1174	43
378	1177	40
379	1181	37
380	1184	34
381	1187	31
382	1190	27
383	1193	24
384	1197	21
385	1200	18
386	1203	15
387	1206	12
388	1210	9
389	1213	6
390	1216	3
391	1219	0
