iter	Passed	Remaining
0	2	1113
1	5	1077
2	8	1090
3	10	1055
4	14	1091
5	17	1137
6	20	1132
7	23	1120
8	26	1112
9	28	1101
10	31	1093
11	34	1089
12	37	1082
13	39	1073
14	42	1079
15	45	1077
16	48	1071
17	51	1062
18	53	1058
19	56	1051
20	59	1042
21	61	1034
22	63	1023
23	66	1014
24	68	1008
25	71	1000
26	73	991
27	75	983
28	77	976
29	80	967
30	82	959
31	84	952
32	86	945
33	89	942
34	92	939
35	94	936
36	96	930
37	99	926
38	101	921
39	104	918
40	106	915
41	109	912
42	111	907
43	114	902
44	116	897
45	118	893
46	121	889
47	123	885
48	125	880
49	128	876
50	130	873
51	133	870
52	135	867
53	138	864
54	140	860
55	142	856
56	145	854
57	147	851
58	151	852
59	153	850
60	156	848
61	159	847
62	162	847
63	164	844
64	167	842
65	169	839
66	172	837
67	175	835
68	177	832
69	180	831
70	183	828
71	185	825
72	188	822
73	190	819
74	193	817
75	197	819
76	200	819
77	203	820
78	206	818
79	209	817
80	212	815
81	215	814
82	218	813
83	221	811
84	224	809
85	226	806
86	229	805
87	232	802
88	234	799
89	237	798
90	240	795
91	242	792
92	245	789
93	248	787
94	251	785
95	253	781
96	255	777
97	258	774
98	260	770
99	262	767
100	265	763
101	267	760
102	269	756
103	272	753
104	274	750
105	276	746
106	279	743
107	281	740
108	284	737
109	286	735
110	289	732
111	291	729
112	294	726
113	296	722
114	298	719
115	301	716
116	303	714
117	306	711
118	308	708
119	311	706
120	314	703
121	316	701
122	319	698
123	321	695
124	324	692
125	326	689
126	329	687
127	331	684
128	334	681
129	336	677
130	338	674
131	341	671
132	343	668
133	345	665
134	348	662
135	350	660
136	353	657
137	356	655
138	359	653
139	361	651
140	364	648
141	366	645
142	369	644
143	372	641
144	375	639
145	378	638
146	381	635
147	384	633
148	387	631
149	390	629
150	393	627
151	396	625
152	399	623
153	401	620
154	404	618
155	407	615
156	409	613
157	412	611
158	415	609
159	419	607
160	421	604
161	424	602
162	427	600
163	430	597
164	432	595
165	435	592
166	438	590
167	440	587
168	443	585
169	446	582
170	448	579
171	451	576
172	453	573
173	455	571
174	457	567
175	460	565
176	463	562
177	465	559
178	467	556
179	469	553
180	472	550
181	474	547
182	477	544
183	479	541
184	481	539
185	484	536
186	486	533
187	489	531
188	492	528
189	494	525
190	496	522
191	498	519
192	501	516
193	503	514
194	506	511
195	508	508
196	511	505
197	513	503
198	516	500
199	518	497
200	521	495
201	523	492
202	526	489
203	528	487
204	531	485
205	534	482
206	536	479
207	539	477
208	542	474
209	544	471
210	547	469
211	550	467
212	553	465
213	556	462
214	558	460
215	561	457
216	564	455
217	566	452
218	569	450
219	572	447
220	575	445
221	577	442
222	580	439
223	582	436
224	585	434
225	588	432
226	590	429
227	593	426
228	596	424
229	599	422
230	602	419
231	605	417
232	607	414
233	610	412
234	613	409
235	616	407
236	618	404
237	621	402
238	624	399
239	627	397
240	630	394
241	633	392
242	635	389
243	639	387
244	641	384
245	644	382
246	646	379
247	649	377
248	651	374
249	654	371
250	656	368
251	659	366
252	661	363
253	664	360
254	666	358
255	669	355
256	671	352
257	674	350
258	676	347
259	679	344
260	681	342
261	684	339
262	686	336
263	689	334
264	691	331
265	694	328
266	696	326
267	699	323
268	701	320
269	704	318
270	706	315
271	709	312
272	711	310
273	714	307
274	716	304
275	718	302
276	721	299
277	723	296
278	726	294
279	728	291
280	731	288
281	733	286
282	735	283
283	738	280
284	741	278
285	744	275
286	746	273
287	749	270
288	751	267
289	754	265
290	757	262
291	760	260
292	763	257
293	765	255
294	768	252
295	771	250
296	774	247
297	777	245
298	780	242
299	783	240
300	786	237
301	789	235
302	791	232
303	794	229
304	797	227
305	800	224
306	802	222
307	805	219
308	807	217
309	810	214
310	813	211
311	816	209
312	819	206
313	822	204
314	825	201
315	827	199
316	830	196
317	833	193
318	836	191
319	838	188
320	841	186
321	844	183
322	846	180
323	848	178
324	851	175
325	853	172
326	856	170
327	858	167
328	861	164
329	863	162
330	866	159
331	868	156
332	870	154
333	872	151
334	875	148
335	877	146
336	880	143
337	882	140
338	884	138
339	887	135
340	889	133
341	891	130
342	894	127
343	896	125
344	898	122
345	901	119
346	903	117
347	905	114
348	908	111
349	910	109
350	913	106
351	915	104
352	918	101
353	921	98
354	923	96
355	926	93
356	928	91
357	931	88
358	933	85
359	936	83
360	938	80
361	941	78
362	944	75
363	947	72
364	949	70
365	952	67
366	955	65
367	958	62
368	960	59
369	963	57
370	966	54
371	968	52
372	971	49
373	974	46
374	976	44
375	979	41
376	982	39
377	984	36
378	987	33
379	990	31
380	993	28
381	996	26
382	999	23
383	1001	20
384	1004	18
385	1007	15
386	1010	13
387	1013	10
388	1016	7
389	1018	5
390	1021	2
391	1024	0
