iter	Passed	Remaining
0	3	1456
1	7	1372
2	9	1288
3	12	1232
4	15	1187
5	18	1162
6	20	1151
7	23	1114
8	25	1089
9	27	1056
10	30	1040
11	32	1023
12	35	1041
13	38	1037
14	40	1028
15	43	1013
16	45	1011
17	48	1005
18	50	1000
19	53	996
20	56	995
21	59	992
22	62	997
23	65	1008
24	69	1026
25	73	1037
26	76	1037
27	79	1038
28	82	1032
29	84	1024
30	87	1022
31	90	1017
32	93	1018
33	96	1011
34	101	1036
35	104	1037
36	108	1041
37	111	1039
38	114	1039
39	117	1034
40	120	1032
41	123	1026
42	126	1026
43	129	1021
44	133	1030
45	137	1032
46	140	1032
47	143	1025
48	145	1019
49	147	1011
50	150	1003
51	153	1004
52	156	999
53	158	993
54	161	988
55	164	986
56	167	983
57	170	980
58	173	977
59	176	975
60	179	972
61	182	969
62	184	964
63	187	959
64	189	955
65	192	952
66	199	968
67	202	964
68	205	960
69	207	955
70	210	951
71	212	946
72	215	940
73	217	935
74	220	932
75	223	928
76	226	927
77	229	925
78	232	921
79	234	916
80	237	912
81	240	909
82	243	907
83	247	906
84	249	902
85	253	900
86	255	896
87	260	901
88	265	903
89	268	901
90	272	900
91	275	897
92	278	894
93	281	892
94	284	889
95	288	890
96	293	893
97	297	891
98	300	890
99	303	886
100	306	884
101	311	884
102	314	883
103	317	879
104	320	876
105	324	874
106	327	873
107	332	873
108	335	870
109	337	866
110	340	861
111	342	856
112	345	853
113	347	848
114	350	843
115	352	839
116	355	836
117	358	832
118	360	828
119	363	823
120	365	818
121	367	813
122	369	808
123	372	804
124	375	801
125	377	796
126	380	793
127	382	788
128	385	786
129	388	783
130	391	779
131	393	774
132	395	770
133	398	766
134	400	762
135	402	758
136	405	754
137	407	750
138	410	746
139	412	742
140	414	737
141	416	733
142	420	732
143	423	729
144	426	725
145	428	721
146	430	717
147	434	715
148	436	712
149	439	709
150	442	706
151	445	702
152	448	700
153	451	698
154	455	696
155	458	692
156	461	690
157	464	687
158	467	685
159	470	681
160	473	678
161	475	675
162	478	672
163	483	671
164	486	669
165	489	666
166	493	664
167	495	661
168	498	658
169	501	654
170	504	651
171	507	648
172	510	645
173	515	645
174	519	644
175	522	641
176	525	638
177	528	634
178	530	631
179	533	628
180	535	624
181	538	621
182	540	617
183	542	613
184	545	610
185	548	607
186	551	604
187	554	601
188	556	597
189	558	593
190	560	590
191	563	586
192	565	582
193	567	579
194	569	575
195	572	572
196	574	568
197	577	565
198	580	562
199	582	559
200	585	555
201	587	552
202	589	548
203	592	545
204	594	542
205	597	539
206	599	536
207	602	532
208	604	529
209	606	525
210	609	522
211	612	520
212	615	516
213	617	513
214	619	510
215	622	506
216	624	503
217	626	500
218	628	496
219	631	493
220	633	490
221	636	487
222	639	484
223	644	483
224	648	481
225	651	478
226	654	475
227	656	472
228	659	469
229	662	466
230	664	463
231	667	460
232	670	457
233	674	455
234	679	453
235	681	450
236	684	447
237	688	445
238	691	442
239	694	439
240	696	436
241	700	433
242	702	431
243	707	428
244	710	426
245	713	423
246	716	420
247	719	417
248	721	414
249	724	411
250	727	408
251	729	405
252	733	403
253	736	400
254	739	397
255	742	394
256	744	391
257	746	387
258	749	384
259	751	381
260	754	378
261	756	375
262	758	372
263	760	368
264	763	365
265	765	362
266	768	359
267	771	356
268	773	353
269	776	350
270	779	347
271	781	344
272	784	341
273	786	338
274	788	335
275	790	332
276	792	329
277	795	326
278	797	323
279	799	319
280	803	317
281	805	314
282	808	311
283	810	308
284	812	305
285	814	301
286	817	298
287	819	295
288	822	293
289	824	290
290	827	287
291	829	284
292	832	281
293	836	278
294	840	276
295	843	273
296	846	270
297	849	267
298	851	264
299	854	262
300	857	259
301	860	256
302	863	253
303	869	251
304	873	249
305	876	246
306	880	243
307	882	240
308	885	237
309	888	234
310	890	232
311	894	229
312	899	226
313	902	224
314	905	221
315	908	218
316	911	215
317	915	213
318	918	210
319	921	207
320	924	204
321	927	201
322	930	198
323	933	195
324	935	192
325	938	189
326	940	186
327	942	183
328	945	180
329	947	178
330	949	175
331	952	172
332	954	169
333	957	166
334	960	163
335	963	160
336	966	157
337	968	154
338	971	151
339	973	148
340	976	146
341	978	143
342	981	140
343	983	137
344	986	134
345	988	131
346	991	128
347	994	125
348	997	122
349	1000	120
350	1003	117
351	1006	114
352	1008	111
353	1010	108
354	1013	105
355	1015	102
356	1018	99
357	1020	96
358	1023	94
359	1026	91
360	1029	88
361	1033	85
362	1035	82
363	1038	79
364	1041	77
365	1044	74
366	1048	71
367	1050	68
368	1053	65
369	1056	62
370	1060	60
371	1064	57
372	1067	54
373	1069	51
374	1072	48
375	1075	45
376	1078	42
377	1080	40
378	1083	37
379	1086	34
380	1089	31
381	1095	28
382	1098	25
383	1101	22
384	1103	20
385	1107	17
386	1109	14
387	1113	11
388	1115	8
389	1118	5
390	1122	2
391	1125	0
